127.0.0.1, 2017-07-14 19:45:31, GET, /pluralsight/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.027000
127.0.0.1, 2017-07-14 19:45:31, GET, /pluralsight/static/js/calendar.js, HTTP/1.1, 304, 0.024000
127.0.0.1, 2017-07-14 19:45:31, GET, /pluralsight/static/js/web2py.js, HTTP/1.1, 304, 0.020000
127.0.0.1, 2017-07-14 19:45:31, GET, /pluralsight/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.014000
127.0.0.1, 2017-07-14 19:45:31, GET, /pluralsight/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.013000
127.0.0.1, 2017-07-14 19:45:31, GET, /pluralsight/static/js/share.js, HTTP/1.1, 304, 0.013000
127.0.0.1, 2017-07-14 19:45:32, GET, /pluralsight/static/images/background.jpg, HTTP/1.1, 304, 0.004000
127.0.0.1, 2017-07-14 19:45:32, GET, /pluralsight/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.003000
127.0.0.1, 2017-07-14 19:45:32, GET, /pluralsight/static/images/twitter.png, HTTP/1.1, 304, 0.017000
127.0.0.1, 2017-07-14 19:45:32, GET, /pluralsight/static/images/gplus-32.png, HTTP/1.1, 304, 0.020000
127.0.0.1, 2017-07-14 19:45:34, GET, /admin/default/index, HTTP/1.1, 303, 0.016000
127.0.0.1, 2017-07-14 19:45:34, GET, /admin/default/site, HTTP/1.1, 200, 0.326000
127.0.0.1, 2017-07-14 19:45:36, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2017-07-14 19:45:39, GET, /pluralsight/default/index, HTTP/1.1, 200, 0.684000
127.0.0.1, 2017-07-14 19:45:41, GET, /admin/default/index, HTTP/1.1, 303, 0.027000
127.0.0.1, 2017-07-14 19:45:42, GET, /admin/default/site, HTTP/1.1, 200, 0.489000
127.0.0.1, 2017-07-14 19:45:43, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
